Repo,Tag Name,Release Name,Published At,Year,Month,Day,Week,Date,Is Weekend,URL
daangn/stackflow,@stackflow/plugin-history-sync@1.5.2,@stackflow/plugin-history-sync@1.5.2,2024-07-22T05:03:58Z,2024,7,22,30,2024-07-22,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-history-sync%401.5.2
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.11,@stackflow/plugin-google-analytics-4@1.1.11,2024-07-22T05:03:49Z,2024,7,22,30,2024-07-22,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-google-analytics-4%401.1.11
daangn/stackflow,@stackflow/plugin-devtools@0.1.9,@stackflow/plugin-devtools@0.1.9,2024-07-22T05:03:52Z,2024,7,22,30,2024-07-22,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-devtools%400.1.9
daangn/stackflow,@stackflow/plugin-basic-ui@1.8.0,@stackflow/plugin-basic-ui@1.8.0,2024-07-22T05:03:46Z,2024,7,22,30,2024-07-22,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.8.0
daangn/stackflow,@stackflow/link@1.4.1,@stackflow/link@1.4.1,2024-07-22T05:03:43Z,2024,7,22,30,2024-07-22,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/link%401.4.1
daangn/stackflow,@stackflow/esbuild-config@1.0.2,@stackflow/esbuild-config@1.0.2,2024-07-22T05:04:16Z,2024,7,22,30,2024-07-22,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/esbuild-config%401.0.2
daangn/stackflow,@stackflow/core@1.0.12,@stackflow/core@1.0.12,2024-07-22T05:03:37Z,2024,7,22,30,2024-07-22,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/core%401.0.12
daangn/stackflow,@stackflow/compat-await-push@1.1.9,@stackflow/compat-await-push@1.1.9,2024-07-22T05:03:40Z,2024,7,22,30,2024-07-22,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/compat-await-push%401.1.9
daangn/stackflow,@stackflow/plugin-history-sync@1.5.1,@stackflow/plugin-history-sync@1.5.1,2024-07-09T09:38:29Z,2024,7,9,28,2024-07-09,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-history-sync%401.5.1
daangn/stackflow,@stackflow/core@1.0.11,@stackflow/core@1.0.11,2024-07-09T09:38:26Z,2024,7,9,28,2024-07-09,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/core%401.0.11
